No,Name,Type1,Type2,Height,Weight,Legendary
1,Bulbasaur,Grass,Poison,0.7,6.9,0
2,Ivysaur,Grass,Poison,1,13,0
3,Venusaur,Grass,Poison,2,100,0
4,Charmander,Fire,,0.6,8.5,0
5,Charmeleon,Fire,,1.1,19,0
6,Charizard,Fire,Flying,1.7,90.5,0
7,Squirtle,Water,,0.5,9,0
8,Wartortle,Water,,1,22.5,0
9,Blastoise,Water,,1.6,85.5,0
10,Caterpie,Bug,,0.3,2.9,0
11,Metapod,Bug,,0.7,9.9,0
12,Butterfree,Bug,Flying,1.1,32,0
13,Weedle,Bug,Poison,0.3,3.2,0
14,Kakuna,Bug,Poison,0.6,10,0
15,Beedrill,Bug,Poison,1,29.5,0
16,Pidgey,Normal,Flying,0.3,1.8,0
17,Pidgeotto,Normal,Flying,1.1,30,0
18,Pidgeot,Normal,Flying,1.5,39.5,0
19,Rattata,Normal,,0.3,3.5,0
20,Raticate,Normal,,0.7,18.5,0
21,Spearow,Normal,Flying,0.3,2,0
22,Fearow,Normal,Flying,1.2,38,0
23,Ekans,Poison,,2,6.9,0
24,Arbok,Poison,,3.5,65,0
25,Pikachu,Electric,,0.4,6,0
26,Raichu,Electric,,0.8,30,0
27,Sandshrew,Ground,,0.6,12,0
28,Sandslash,Ground,,1,29.5,0
29,Nidoran♀,Poison,,0.4,7,0
30,Nidorina,Poison,,0.8,20,0
31,Nidoqueen,Poison,Ground,1.3,60,0
32,Nidoran♂,Poison,,0.5,9,0
33,Nidorino,Poison,,0.9,19.5,0
34,Nidoking,Poison,Ground,1.4,62,0
35,Clefairy,Fairy,,0.6,7.5,0
36,Clefable,Fairy,,1.3,40,0
37,Vulpix,Fire,,0.6,9.9,0
38,Ninetales,Fire,,1.1,19.9,0
39,Jigglypuff,Normal,Fairy,0.5,5.5,0
40,Wigglytuff,Normal,Fairy,1,12,0
41,Zubat,Poison,Flying,0.8,7.5,0
42,Golbat,Poison,Flying,1.6,55,0
43,Oddish,Grass,Poison,0.5,5.4,0
44,Gloom,Grass,Poison,0.8,8.6,0
45,Vileplume,Grass,Poison,1.2,18.6,0
46,Paras,Bug,Grass,0.3,5.4,0
47,Parasect,Bug,Grass,1,29.5,0
48,Venonat,Bug,Poison,1,30,0
49,Venomoth,Bug,Poison,1.5,12.5,0
50,Diglett,Ground,,0.2,0.8,0